Designator,Footprint,Quantity,Value,LCSC Part #
C1-C10,402,2,1uf,CL05A105KA5NQNC
C11-C12-C17-C2-C3-C4-C5-C6-C7-C8-C9,402,11,0.1uf,CL05B104K05NNNC
C13-C14,603,2,10uf,CL10A106KP8NNNC
C15-C16,402,2,33pF,0402CG330J500NT
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,TYPE-C-31-M-12
R1-R2,402,2,5.1k,0402WGF5101TCE
R3-R4,402,2,27,0402WGF270JTCE
R5-R7,402,2,1K,0402WGF1001TCE
R6,402,1,10k,0402WGF1002TCE
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,TS-1088-AR02016
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,RP2040
U2,SOT-23,1,MCP1700x-330xxTT,MCP1700T-3302E/TT
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,W25Q128JVP
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,X322512MSB4SI
total price PCBA: 50.70$,,,,
shipping: 1.5$,,,,
