Designator,Mid X,Mid Y,Rotation,Layer
C1,172.760589,-99.839411,45.0,top
C10,170.89,-113.18,270.0,top
C11,173.82,-107.5,0.0,top
C12,161.960589,-108.539411,225.0,top
C13,164.2,-85.6,180.0,top
C14,165.1,-91.2,180.0,top
C15,164.49,-115.1,270.0,top
C16,169.89,-115.12,90.0,top
C17,166.275,-97.2,180.0,top
C2,169.89,-113.18,270.0,top
C3,170.7,-101.3,90.0,top
C4,163.68,-102.2,180.0,top
C5,171.7,-101.62,90.0,top
C6,169.0,-98.08,90.0,top
C7,170.0,-97.54,90.0,top
C8,172.8,-103.0,0.0,top
C9,168.0,-98.08,90.0,top
J1,168.0,-79.5,180.0,top
J2,159.11,-102.5,0.0,top
J3,176.89,-102.5,0.0,top
J4,168.0,-126.39,90.0,top
R1,167.5,-85.8,90.0,top
R2,169.5,-85.8,90.0,top
R3,169.7,-101.29,90.0,top
R4,168.7,-101.29,90.0,top
R5,168.3,-112.8,0.0,top
R6,164.3,-97.2,0.0,top
R7,171.79,-91.0,180.0,top
SW1,171.8,-87.7,270.0,top
U1,168.0,-106.5,90.0,top
U2,165.1,-88.4,270.0,top
U3,164.575,-99.0,0.0,top
Y1,167.19,-115.1,180.0,top
